PSTL,STD
2.2422,1.5874
1.756,1.998
2.2505,2.0764
2.0053,1.5777
2.2564,2.0075
2.2462,2.0997
2.5173,1.6075
2.8307,2.0318
2.0228,1.9089
2.2251,1.9317
2.4747,2.2456
2.3009,1.9513
6.5038,1.486
5.3328,1.7726
5.5606,1.6585
6.0517,1.5163
2.2727,2.1068
6.5164,1.562
2.2935,2.0021
6.957,1.5718
5.6418,1.5722
5.7968,1.7169
2.4645,1.9684
1.7188,1.579
3.3061,1.8866
5.1324,1.6311
6.1471,1.6906
4.8913,1.6875
5.3415,1.8314
5.2683,1.8739
5.0455,1.6959
5.2698,1.6327
5.3802,1.7372
3.1581,2.8937
6.2819,1.909
7.8023,1.5375
2.8951,3.0005
2.6599,2.6561
2.5261,2.5248
2.3251,2.1005
1.9796,2.5754
3.1194,2.205
2.2052,2.7473
3.5398,2.9403
2.9784,3.0192
2.5513,2.4648
2.7049,2.9743
3.2291,2.2494
2.7074,1.9659
2.3095,2.396
2.2645,2.5538
3.3637,2.2761
2.2892,2.0438
3.5376,1.9321
2.2427,1.9442
2.1792,2.3668
2.8131,2.7661
2.2894,2.0377
2.3424,1.8851
2.7601,3.5704
2.2576,2.1043
2.1283,1.5976
2.3907,1.868
2.3184,2.5701
2.8144,2.0251
2.2093,1.9513
2.4776,2.0538
2.265,2.0339
2.8832,2.0605
2.4468,1.9116
2.4268,2.1679
2.9419,2.1395
2.9092,2.22
2.4157,2.1539
2.3097,1.9319
2.2768,2.3114
2.933,2.0201
2.1395,1.9445
2.2195,2.1224
2.0255,1.9249
2.2288,2.0074
7.0116,1.5706
2.3131,2.1272
1.7931,1.6156
2.4436,2.7579
2.3445,2.3817
3.2523,1.9722
1.8895,1.8737
2.4622,2.2218
2.7984,2.3318
6.1341,1.8903
2.2501,4.5582
1.8465,7.2798
2.2539,6.082
2.6053,6.1148
1.9183,1.9993
2.6975,2.7332
2.3917,1.9686
2.9026,2.1838
2.3177,2.1223
2.2116,2.1629
2.7979,3.2985
2.5559,2.0628
3.2908,2.0795
2.0475,1.8816
2.2305,2.0177
2.8776,2.7959
2.8318,2.077
2.4969,2.44
2.9775,2.9374
3.2209,2.5729
2.6795,2.4144
2.2029,2.0511
2.3773,1.9678
2.2537,2.3447
3.0771,2.2157
2.3081,2.1732
2.1161,2.2793
2.0535,2.0664
2.2912,2.8298
2.4892,2.1003
2.285,1.6091
2.4047,2.3177
2.6937,2.3755
2.2369,2.1613
2.3506,2.0822
2.9436,2.8424
2.4187,2.1165
2.7411,2.5353
2.3253,2.3951
2.5892,2.0243
2.367,2.5526
3.0562,2.3333
2.8481,2.6422
2.3428,2.5042
2.2864,1.6568
2.1604,2.039
2.3903,2.2899
2.2498,3.0459
2.5078,2.598
2.3219,2.1224
2.8471,2.2966
2.8471,1.9702
2.3088,1.9529
1.8139,2.2551
2.2704,2.9034
1.9349,2.8929
2.895,2.9953
2.7027,2.326
2.9353,2.7383
3.376,2.3077
2.6439,2.8394
2.6989,2.1093
3.1463,3.3821
2.4888,2.5243
5.2416,1.8554
4.9959,1.9087
5.9822,2.3483
2.2577,2.1188
2.8742,2.2451
2.6252,2.1151
2.6788,2.7563
3.2103,2.4899
2.8033,4.6819
4.1901,2.314
4.4747,1.866
2.785,2.7776
2.1724,5.1665
2.2672,2.0124
2.5309,2.8831
2.7623,2.7236
1.9129,2.0603
2.2531,2.6826
3.773,2.5728
2.5465,1.9816
2.3701,1.9659
2.2638,2.5779
2.6199,2.12
2.7326,2.2192
3.7848,3.4277
2.6329,2.4649
2.648,1.7538
